gern,glad
die Leute (Pl.),people
fotografieren,to photograph
"der Freund, -e",friend
"die Freundin, -nen","female friend, girlfriend"
joggen,to jog
"der Kollege, -n",colleague (m)
"die Kollegin, -nen",colleague (f)
die Musik (Sg.),music
"singen, er singt, hat gesungen",to sing
tanzen,to dance
an|kreuzen,to mark
"gehen, er geht, ist gegangen (Gehst du gern ins Kino?)",to go (Do you like going to the cinema?)
"das Kino, -s",movie theater
kochen,to cook
reisen,to travel
"schwimmen, er schwimmt, ist geschwommen",to swim
antworten,to answer
arbeiten (Arbeiten Sie zu zweit.),to work (Work as a pair.)
"ja (Liest du gern? - Ja, sehr gern.)","yes (Do you like to read? - Yes, very.)"
nein,no
"so (Schwimmst du gern? - Nein, nicht so gern.)","so (Do you like swimming? - No, not so much.)"
so (Singst du gern? - Es geht so.),so (Do you like to sing? - So and so.)
"das Buch, ""-er",book
Fußball (Sg. ohne Artikel) (Er spielt gern Fußball.),football (He likes to play football.)
lieben,to love
"die Sensation, -en",sensation
super,super
toll,great
wir,we
am (Kochen wir am Wochenende Spaghetti?),at (Are we going to cook spaghetti at the weekend?)
arbeiten (Was arbeitest du?),to work (What do you work as?)
"die Endung, -en",ending
"das Foto, -s",photo
ihr (Joggt ihr morgen auch?),you (Are you going jogging tomorrow as well?)
"der Kommentar, -e",commentary
lustig,funny
"der Moment, -e (Im Moment lese ich ein Buch von Daniel Kehlmann.)",moment (I'm reading a book by Daniel Kehlmann at the moment.)
morgen,tomorrow
die Spaghetti (Pl.),spaghetti
von (+ D.) (Ich lese ein Buch von Daniel Kehlmann.),by (I'm reading a book by Daniel Kehlmann.)
wirklich (Spielen Sie wirklich Fußball?),really (Do you really play football?)
"das Wochenende, -n",weekend
dritt (Arbeiten Sie zu dritt.),here: threes (Work in threes)
"die Form, -en","form, shape, mold"
"der infinitiv, -e",infinitive
"nennen, er nennt, hat genannt",to name
"das Hobby, -s",hobby
mit (+ D.),with
"der Dienstag, -e",Tuesday
"der Donnerstag, -e",Thursday
"der Freitag, -e",Friday
"der Mittwoch, -e",Wednesday
"der Montag, -e",Monday
"der Samstag, -e",Saturday
"der Sonntag, -e",Sunday
wann,when
"der Wochentag, -e",day of the week
"die Frage, -n",question
"gehen, er geht, ist geg ngen (Gehen wir ins Kino? - Nein, das geht leider nicht.)","to go (Are we going to the cinema? - No, that won't work unfortunately.)"
leider,unfortunately
"nach|sprechen, er spricht nach, hat nachgesprochen",to repeat
"die Satzmelodie , -n",intonation
achten,to pay attention to sth
auf (+ A.) (Achten Sie auf die Satzmelodie.),here: to (Pay attention to the intonation.)
für (+ A.),for
oft,often
"das Café, -s",café
durch (+ A.),through
"die Ja-/Nein-Frage, -n",yes-/no-question
"jede, jeder",every
"der Kursraum, ""-e",course room
"das Museum, Museen",museum
"das Restaurant, -s",restaurant
"das Schwimmbad, ""-er",swimming pool
"das Stadion, Stadien",stadium
"der Tag, -e",day
"der Termin, -e",appointment
"das Theater, -",theatre
"die Ver bredung, -en",appointment
"der Artikel, -",article
"der Arzt, ""-e",doctor (m)
"die Arztin, -nen",doctor (f)
"das Auto, -s",car
"der Beruf, -e",occupation
best mmt (der bestimmte Artikel),here: definite (the definite article)
"der Computer, -",computer
feminin,feminine
"geben, es gibt, es hat gegeben (Es gibt mehrere Möglichkeiten.)",here: to be (There are several possibilities.)
"das Geld, -er",money
"das Glas, ""-er",glass
"der Kellner, -",waiter
"die Kellnerin, -nen",waitress
maskulin,masculine
"das Medikament, -e",medicine
mehrere,several
"die Möglichkeit, -en",possibility
neutrum,neuter
passen (Welches Foto passt zum Text?),to match (which picture matched to which text?)
"der Plural, -e",plural
"die Rechnung, -en",bill
"der Schlüssel, -",key
"die Spritze, -n",injection
"der Stift, -e",pencil
"die Straße, -n",street
"der Student, -en",student (m)
"die Studentin, -nen",student (f)
"die Tablette, -n",pill
"der Taxifahrer, -",taxi driver (m)
"die Taxifahrerin, -nen",taxi driver (f)
zu (+ D.) (Was passt zu den Berufen?),to (What fits to the occupations?)
markieren,to highlight
