"die Stadttour, -en",city tour
"die Station, -en",station
"der Bahnhof, ""-e",train station
die Bauzeit (Sg.),construction period
"der Besucher, -",visitor (m)
"die Besucherin, -nen",visitor (f)
b s (+ D.) (Bauzeit: bis 2016),until (Construction period: Until 2016)
breit,wide
"erste,  erster",first
"der Euro, -s",euro
hoch,high
"die Kirche, -n",church
"das Konzert, -e",concert
"das Konzerthaus, ""-er",concert hall
die Kosten (Pl.),to cost
"der Meter, -",metre
die Mitte (Sg.),middle
"das Rathaus, ""-er",town hall
"der Star, -s",star
"der Turm, ""-e",tower
über (Der Turm ist über 120 Jahre alt.),over (The tower is over 160 years old.)
auf (+ D.) (Die Schiffe fahren auf dem Fluss.),on (The ships sail on the river.)
bis zu,up to
circa (= ca.),approximately (= approx.)
da,there
dem (Die Schiffe fahren auf dem Fluss.),the (The ships sail on the river.)
"der Fluss, ""-e",river
"der Hafen, ""-",harbour
n (+ D.) (Der Zug fährt in 8 Stunden nach Warschau.),in (The train will be leaving for Warsaw in eight hours.)
"das Meer, -e",sea
"der Mensch, -en",person
nach (+ D.) (Der Zug fährt nach Warschau.),to (The train is going to Warsaw.)
"das Schiff, -e",ship
"sehen, er sieht, hat gesehen",to see
"das Symbol, -e",symbol
"der Zug, ""-e",train
"die Ausstellung, -en",exhibition
"die Brücke, -n",bridge
lang,long
"der Ort, -e",here: village
über (+ A.) (Sammeln Sie Informationen über Ihre Stadt.),about (Collect information about your city.)
grüezi,Swiss word for: hello
grüß G tt,good day
"das Hotel, -s",hotel
moin,good morning
so (So sagt man auf Deutsch: …),here: this (In German you say it like this: …)
"die Taxifahrt, -en",taxi ride
"der Weg, -e",way
interessant,interesting
"die Kunsthalle, -n",art gallery
"die Lösung, -en",solution
okay,okay
"der Plan, ""-e",plan
rechts,right
rechtig (Ist der Satz richtig oder falsch?),true (Is the sentence true or false?)
schon (Da ist auch schon das Hotel.),already (There is the hotel already.)
schön,pretty
"der See, -n",lake
zeichnen,to draw
"auf|stehen, er steht auf, ist aufgestanden",to stand up
bilden (Bilden Sie drei Gruppen.),to form (Form three groups.)
"die Gruppe, -n",group
passend,matching
nbestimmt (der unbestimmte Artikel),indeterminate (the indeterminate article)
"das Haus, ""-er",house
"der S tz, ""-e",sentence
doppelt,double
"der Konsonant, -en",consonant
"der Vokal, -e",vowel
vor (+ D.) (Vor dem Nomen steht der Artikel.),before (The article stands before the noun.)
"der Arm, -e",arm
klopfen,to knock
kreisen,to circle
"der Tisch, -e",table
"die B ldgeschichte, -n",comic strip
"der Bus, -se",bus
"das Fahrrad, ""-er",bicycle
"die U-Bahn, -en",subway
zeigen (Zeigen Sie auf das Bild.),to point (Point to the picture.)
zu Fuß (Pia geht zu Fuß.),on foot (Pia is going on foot.)
"das Flugzeug, -e",airplane
"die S-Bahn, -en",suburban train
"die Straßenbahn, -en",tram
aber (Jetzt aber schnell!),but (But get a move on now!)
"lso (Kein Bus, also schnell!)","so (No bus, so, quickly!)"
"das Bild, -er",picture
"die Fahrkarte, -n",ticket
das Glück (Sg.) (So ein Glück!),luck (Such luck!)
heute,today
jetzt,now
schnell,quick
"der Test, -s",test
"die Konzertkarte, -n",concert ticket
"der Negationsartikel, -",negative article
links,left
"die Wegbeschreibung, -en",directions
geradeaus,straight ahead
der Dank (Sg.) (Vielen Dank.),thanks (Thank you very much.)
einfach (Das ist ganz einfach.),easy (That is very easy.)
"genau (Ja, genau.)","exactly (Yes, exactly.)"
"der imperativ, -e",imperative
"das Mal, -e (Würfeln Sie drei Mal.)",time (Roll the dice three times.)
"der Markt, ""-e",market
"der Park, -s",park
"der Start, -s",starting line
würfeln,to roll (the dice)
"das Ziel, -e",goal
"der Chor, ""-e",choir
deutschsprachig,German-speaking
"diese, dieser",this
dirigieren,to conduct
"das Event, -s",event
"das Festival, -s",festival
"der Film, -e",film
"der Filmfan, -s",film fan
"der Gast, ""-e",guest
"ihr, ihre (Die Stadthalle zeigt ihre Produktionen.)",its (The town hall shows its productions.)
"das Orchester, -",orchestra
"die Produktion, -en",production
das Publikum (Sg.),audience
"der Regisseur, -e",director (m)
"die Regisseurin, -nen",director (f)
"das Requiem, -s",requiem
"der Schauspieler, -",actor
"die Schauspielerin, -nen",actress
"sein, seine (Der Regisseur präsentiert seinen Film.)",his (The director presents his film.)
"der Solist, -en",soloist (m)
"die Solistin, -nen",soloist (f)
"das Theater-Festival, -s",theatre festival
"das Ticket, -s",ticket
"die Welt, -en",world
ähnlich,similar
"finden, er findet, hat gefunden (Finden Sie Sport interessant?)",to find (Do you find sport interesting?)
der April (Sg.),April
der August (Sg.),August
der Dezember (Sg.),December
der Februar (Sg.),February
der Frühling (Sg.),spring
der Herbst (Sg.),autumn
der Januar (Sg.),January
der Juli (Sg.),July
der Juni (Sg.),June
der Mai (Sg.),May
der März (Sg.),March
"der Monat, -e",month
der November (Sg.),November
der Oktober (Sg.),October
der September (Sg.),September
"der Sommer, -",summer
"der W nter, -",winter
"die Jahreszeit, -en",season
"das Plakat, -e",poster
"das Adjektiv, -e",adjective
"das Ding, -e",thing
"die Position, -en",position
stellen (eine Frage stellen),here: to ask (to ask a question)
